Epoch 1, Training Loss: 0.24976375699043274, Validation Loss: 0.2942982614040375
Epoch 2, Training Loss: 0.2488759160041809, Validation Loss: 0.2932797968387604
Epoch 3, Training Loss: 0.24799296259880066, Validation Loss: 0.2922590672969818
Epoch 4, Training Loss: 0.24711181223392487, Validation Loss: 0.2912321984767914
Epoch 5, Training Loss: 0.24622777104377747, Validation Loss: 0.29020798206329346
Epoch 6, Training Loss: 0.24534353613853455, Validation Loss: 0.2891794741153717
Epoch 7, Training Loss: 0.24445442855358124, Validation Loss: 0.28813785314559937
Epoch 8, Training Loss: 0.2435513734817505, Validation Loss: 0.28708067536354065
Epoch 9, Training Loss: 0.24263544380664825, Validation Loss: 0.28601139783859253
Epoch 10, Training Loss: 0.24171094596385956, Validation Loss: 0.28492632508277893
Epoch 11, Training Loss: 0.24076732993125916, Validation Loss: 0.2838210165500641
Epoch 12, Training Loss: 0.239802747964859, Validation Loss: 0.2826921045780182
Epoch 13, Training Loss: 0.23882097005844116, Validation Loss: 0.28154855966567993
Epoch 14, Training Loss: 0.23782452940940857, Validation Loss: 0.28037819266319275
Epoch 15, Training Loss: 0.23680852353572845, Validation Loss: 0.27917906641960144
Epoch 16, Training Loss: 0.23577328026294708, Validation Loss: 0.2779635488986969
Epoch 17, Training Loss: 0.23471692204475403, Validation Loss: 0.27671679854393005
Epoch 18, Training Loss: 0.2336353212594986, Validation Loss: 0.2754669785499573
Epoch 19, Training Loss: 0.23255299031734467, Validation Loss: 0.27420324087142944
Epoch 20, Training Loss: 0.23145602643489838, Validation Loss: 0.2729122042655945
Epoch 21, Training Loss: 0.2303277552127838, Validation Loss: 0.2715701460838318
Epoch 22, Training Loss: 0.2291724532842636, Validation Loss: 0.2702431380748749
Epoch 23, Training Loss: 0.22802738845348358, Validation Loss: 0.2688712179660797
Epoch 24, Training Loss: 0.2268415242433548, Validation Loss: 0.2674466073513031
Epoch 25, Training Loss: 0.22560736536979675, Validation Loss: 0.2659494876861572
Epoch 26, Training Loss: 0.2243129312992096, Validation Loss: 0.26438355445861816
Epoch 27, Training Loss: 0.2229585349559784, Validation Loss: 0.2627342641353607
Epoch 28, Training Loss: 0.22153356671333313, Validation Loss: 0.2610434889793396
Epoch 29, Training Loss: 0.22006890177726746, Validation Loss: 0.25930124521255493
Epoch 30, Training Loss: 0.2185593694448471, Validation Loss: 0.257468581199646
Epoch 31, Training Loss: 0.21698398888111115, Validation Loss: 0.2555302679538727
Epoch 32, Training Loss: 0.2153274565935135, Validation Loss: 0.2534896731376648
Epoch 33, Training Loss: 0.21358120441436768, Validation Loss: 0.2513142228126526
Epoch 34, Training Loss: 0.21171772480010986, Validation Loss: 0.24900870025157928
Epoch 35, Training Loss: 0.20974783599376678, Validation Loss: 0.24659615755081177
Epoch 36, Training Loss: 0.20768703520298004, Validation Loss: 0.2440379112958908
Epoch 37, Training Loss: 0.20551306009292603, Validation Loss: 0.24132612347602844
Epoch 38, Training Loss: 0.20321549475193024, Validation Loss: 0.23844243586063385
Epoch 39, Training Loss: 0.20077551901340485, Validation Loss: 0.23537418246269226
Epoch 40, Training Loss: 0.19818097352981567, Validation Loss: 0.23206743597984314
Epoch 41, Training Loss: 0.19541306793689728, Validation Loss: 0.2285510152578354
Epoch 42, Training Loss: 0.1924818605184555, Validation Loss: 0.2248212844133377
Epoch 43, Training Loss: 0.18938982486724854, Validation Loss: 0.22088366746902466
Epoch 44, Training Loss: 0.18614013493061066, Validation Loss: 0.21670958399772644
Epoch 45, Training Loss: 0.1827087104320526, Validation Loss: 0.21232707798480988
Epoch 46, Training Loss: 0.17913125455379486, Validation Loss: 0.20773306488990784
Epoch 47, Training Loss: 0.1754124015569687, Validation Loss: 0.2029242217540741
Epoch 48, Training Loss: 0.17156434059143066, Validation Loss: 0.19798535108566284
Epoch 49, Training Loss: 0.1676366925239563, Validation Loss: 0.19290781021118164
Epoch 50, Training Loss: 0.16365347802639008, Validation Loss: 0.18770824372768402
Epoch 51, Training Loss: 0.1596258133649826, Validation Loss: 0.18245668709278107
Epoch 52, Training Loss: 0.15561054646968842, Validation Loss: 0.17723484337329865
Epoch 53, Training Loss: 0.15169331431388855, Validation Loss: 0.17208313941955566
Epoch 54, Training Loss: 0.14793220162391663, Validation Loss: 0.16709347069263458
Epoch 55, Training Loss: 0.14439880847930908, Validation Loss: 0.16237154603004456
Epoch 56, Training Loss: 0.141189306974411, Validation Loss: 0.15803749859333038
Epoch 57, Training Loss: 0.13839198648929596, Validation Loss: 0.1542031317949295
Epoch 58, Training Loss: 0.13608701527118683, Validation Loss: 0.15090574324131012
Epoch 59, Training Loss: 0.134306862950325, Validation Loss: 0.14815878868103027
Epoch 60, Training Loss: 0.13298778235912323, Validation Loss: 0.14588959515094757
Epoch 61, Training Loss: 0.13202348351478577, Validation Loss: 0.14400453865528107
Epoch 62, Training Loss: 0.1312703639268875, Validation Loss: 0.14237762987613678
Epoch 63, Training Loss: 0.1305730640888214, Validation Loss: 0.1409529447555542
Epoch 64, Training Loss: 0.12983117997646332, Validation Loss: 0.13958315551280975
Epoch 65, Training Loss: 0.1288924217224121, Validation Loss: 0.13822036981582642
Epoch 66, Training Loss: 0.12772177159786224, Validation Loss: 0.1368698924779892
Epoch 67, Training Loss: 0.1263706237077713, Validation Loss: 0.13556399941444397
Epoch 68, Training Loss: 0.12490182369947433, Validation Loss: 0.13436394929885864
Epoch 69, Training Loss: 0.12340069562196732, Validation Loss: 0.1333278864622116
Epoch 70, Training Loss: 0.1219593733549118, Validation Loss: 0.13249079883098602
Epoch 71, Training Loss: 0.1206473857164383, Validation Loss: 0.1318587064743042
Epoch 72, Training Loss: 0.1195126324892044, Validation Loss: 0.13141702115535736
Epoch 73, Training Loss: 0.11856728047132492, Validation Loss: 0.13110952079296112
Epoch 74, Training Loss: 0.11779607087373734, Validation Loss: 0.13087265193462372
Epoch 75, Training Loss: 0.11714862287044525, Validation Loss: 0.1306641846895218
Epoch 76, Training Loss: 0.11659421026706696, Validation Loss: 0.13044452667236328
Epoch 77, Training Loss: 0.1161036267876625, Validation Loss: 0.13017351925373077
Epoch 78, Training Loss: 0.11563970893621445, Validation Loss: 0.12983106076717377
Epoch 79, Training Loss: 0.11518297344446182, Validation Loss: 0.12942415475845337
Epoch 80, Training Loss: 0.11473102122545242, Validation Loss: 0.128960981965065
Epoch 81, Training Loss: 0.11427320539951324, Validation Loss: 0.12841789424419403
Epoch 82, Training Loss: 0.11378289014101028, Validation Loss: 0.12782719731330872
Epoch 83, Training Loss: 0.11329203844070435, Validation Loss: 0.12720414996147156
Epoch 84, Training Loss: 0.11281861364841461, Validation Loss: 0.1265547275543213
Epoch 85, Training Loss: 0.11235956102609634, Validation Loss: 0.12592506408691406
Epoch 86, Training Loss: 0.11195146292448044, Validation Loss: 0.1252930909395218
Epoch 87, Training Loss: 0.11156081408262253, Validation Loss: 0.12466618418693542
