Epoch 1, Training Loss: 0.09879416197538377, Validation Loss: 0.08090435918055329
Epoch 2, Training Loss: 0.08014561858028174, Validation Loss: 0.07743719293206346
Epoch 3, Training Loss: 0.07763978589326143, Validation Loss: 0.07635104670828465
Epoch 4, Training Loss: 0.07655252993106842, Validation Loss: 0.07511816568234388
Epoch 5, Training Loss: 0.07520282577723264, Validation Loss: 0.07378254246477987
Epoch 6, Training Loss: 0.07363511502742767, Validation Loss: 0.07206782903157029
Epoch 7, Training Loss: 0.07240553133189678, Validation Loss: 0.06934991654227762
Epoch 8, Training Loss: 0.07077863540500402, Validation Loss: 0.06705030126898896
Epoch 9, Training Loss: 0.06924824025481939, Validation Loss: 0.06540716234959808
Epoch 10, Training Loss: 0.06813200300559402, Validation Loss: 0.06390404628188003
Epoch 11, Training Loss: 0.06694238442927598, Validation Loss: 0.06182956651729696
Epoch 12, Training Loss: 0.06548774108290673, Validation Loss: 0.060008670258171415
Epoch 13, Training Loss: 0.06439481088891626, Validation Loss: 0.05884765607177043
Epoch 14, Training Loss: 0.06323101444169879, Validation Loss: 0.05775357804754201
Epoch 15, Training Loss: 0.06220231898128986, Validation Loss: 0.05639100220857882
Epoch 16, Training Loss: 0.06155226273462176, Validation Loss: 0.0561114486087771
Epoch 17, Training Loss: 0.06095428857952356, Validation Loss: 0.05562237284931482
Epoch 18, Training Loss: 0.06068038195371628, Validation Loss: 0.05525702800528676
Epoch 19, Training Loss: 0.06018990200012922, Validation Loss: 0.055106495014008355
Epoch 20, Training Loss: 0.060027850195765495, Validation Loss: 0.054865905248066955
Epoch 21, Training Loss: 0.059697155803442, Validation Loss: 0.054831025720227
Epoch 22, Training Loss: 0.05945692313835025, Validation Loss: 0.05478884243205482
Epoch 23, Training Loss: 0.05921870147809386, Validation Loss: 0.05444848427877707
Epoch 24, Training Loss: 0.05907693548128009, Validation Loss: 0.054597069965858086
Epoch 25, Training Loss: 0.058816812243312595, Validation Loss: 0.05447766944473865
Epoch 26, Training Loss: 0.05866558710113168, Validation Loss: 0.05427727607243201
Epoch 27, Training Loss: 0.05854518979787827, Validation Loss: 0.05405087659464163
Epoch 28, Training Loss: 0.05835649525746703, Validation Loss: 0.054220856989131254
Epoch 29, Training Loss: 0.058255839180201295, Validation Loss: 0.05399698720258825
Epoch 30, Training Loss: 0.05815776754170656, Validation Loss: 0.05387947248185382
Epoch 31, Training Loss: 0.05807240553200245, Validation Loss: 0.05380414338672862
Epoch 32, Training Loss: 0.05791240196675062, Validation Loss: 0.05367350403000327
Epoch 33, Training Loss: 0.057683048956096175, Validation Loss: 0.05351682635498982
Epoch 34, Training Loss: 0.05756465096026659, Validation Loss: 0.05368309124719863
