Epoch 1, Training Loss: 0.5219747424125671, Validation Loss: 0.5202643275260925
Epoch 2, Training Loss: 0.5202643275260925, Validation Loss: 0.5185457468032837
Epoch 3, Training Loss: 0.5185457468032837, Validation Loss: 0.5168417096138
Epoch 4, Training Loss: 0.5168417096138, Validation Loss: 0.515204131603241
Epoch 5, Training Loss: 0.515204131603241, Validation Loss: 0.5136163830757141
Epoch 6, Training Loss: 0.5136163830757141, Validation Loss: 0.5120709538459778
Epoch 7, Training Loss: 0.5120709538459778, Validation Loss: 0.51057368516922
Epoch 8, Training Loss: 0.5105736255645752, Validation Loss: 0.5091133713722229
Epoch 9, Training Loss: 0.5091134309768677, Validation Loss: 0.5076848268508911
Epoch 10, Training Loss: 0.5076848268508911, Validation Loss: 0.5062592625617981
Epoch 11, Training Loss: 0.5062592625617981, Validation Loss: 0.5048801302909851
Epoch 12, Training Loss: 0.5048801302909851, Validation Loss: 0.5035062432289124
Epoch 13, Training Loss: 0.5035062432289124, Validation Loss: 0.5021184682846069
Epoch 14, Training Loss: 0.5021184682846069, Validation Loss: 0.5006990432739258
Epoch 15, Training Loss: 0.5006990432739258, Validation Loss: 0.49926644563674927
Epoch 16, Training Loss: 0.49926650524139404, Validation Loss: 0.4978185296058655
Epoch 17, Training Loss: 0.4978185296058655, Validation Loss: 0.4963565766811371
Epoch 18, Training Loss: 0.4963565766811371, Validation Loss: 0.49489739537239075
Epoch 19, Training Loss: 0.49489733576774597, Validation Loss: 0.49343520402908325
Epoch 20, Training Loss: 0.49343520402908325, Validation Loss: 0.4919300377368927
Epoch 21, Training Loss: 0.4919300973415375, Validation Loss: 0.4904046356678009
Epoch 22, Training Loss: 0.4904046356678009, Validation Loss: 0.4888627231121063
Epoch 23, Training Loss: 0.4888627231121063, Validation Loss: 0.487324595451355
Epoch 24, Training Loss: 0.487324595451355, Validation Loss: 0.4857243299484253
Epoch 25, Training Loss: 0.4857243299484253, Validation Loss: 0.48414361476898193
Epoch 26, Training Loss: 0.48414361476898193, Validation Loss: 0.4825032949447632
Epoch 27, Training Loss: 0.4825032353401184, Validation Loss: 0.48080945014953613
Epoch 28, Training Loss: 0.48080942034721375, Validation Loss: 0.4790462255477905
Epoch 29, Training Loss: 0.4790462553501129, Validation Loss: 0.4771968722343445
Epoch 30, Training Loss: 0.4771968722343445, Validation Loss: 0.4753000736236572
Epoch 31, Training Loss: 0.4753000736236572, Validation Loss: 0.4733242690563202
Epoch 32, Training Loss: 0.4733242690563202, Validation Loss: 0.4712628424167633
Epoch 33, Training Loss: 0.4712628126144409, Validation Loss: 0.4691089689731598
Epoch 34, Training Loss: 0.4691089689731598, Validation Loss: 0.46683523058891296
Epoch 35, Training Loss: 0.46683526039123535, Validation Loss: 0.4644126296043396
Epoch 36, Training Loss: 0.4644125998020172, Validation Loss: 0.4618228077888489
Epoch 37, Training Loss: 0.4618228077888489, Validation Loss: 0.45905423164367676
Epoch 38, Training Loss: 0.45905423164367676, Validation Loss: 0.4560908377170563
Epoch 39, Training Loss: 0.4560908079147339, Validation Loss: 0.4529515206813812
Epoch 40, Training Loss: 0.45295149087905884, Validation Loss: 0.4496168792247772
Epoch 41, Training Loss: 0.4496168792247772, Validation Loss: 0.4460031986236572
Epoch 42, Training Loss: 0.4460031986236572, Validation Loss: 0.4420957863330841
Epoch 43, Training Loss: 0.4420957863330841, Validation Loss: 0.4378427267074585
Epoch 44, Training Loss: 0.4378426671028137, Validation Loss: 0.4330952763557434
Epoch 45, Training Loss: 0.4330952763557434, Validation Loss: 0.42789918184280396
Epoch 46, Training Loss: 0.42789915204048157, Validation Loss: 0.42229166626930237
Epoch 47, Training Loss: 0.42229166626930237, Validation Loss: 0.41632264852523804
Epoch 48, Training Loss: 0.41632264852523804, Validation Loss: 0.40992283821105957
Epoch 49, Training Loss: 0.4099228084087372, Validation Loss: 0.4029516279697418
Epoch 50, Training Loss: 0.4029516279697418, Validation Loss: 0.39550504088401794
Epoch 51, Training Loss: 0.39550504088401794, Validation Loss: 0.3875485062599182
Epoch 52, Training Loss: 0.38754844665527344, Validation Loss: 0.37906700372695923
Epoch 53, Training Loss: 0.37906700372695923, Validation Loss: 0.37003880739212036
Epoch 54, Training Loss: 0.370038777589798, Validation Loss: 0.3605005443096161
Epoch 55, Training Loss: 0.3605004847049713, Validation Loss: 0.35050511360168457
Epoch 56, Training Loss: 0.3505050837993622, Validation Loss: 0.34005048871040344
Epoch 57, Training Loss: 0.34005048871040344, Validation Loss: 0.32919350266456604
Epoch 58, Training Loss: 0.32919350266456604, Validation Loss: 0.318075567483902
Epoch 59, Training Loss: 0.3180755078792572, Validation Loss: 0.30671635270118713
Epoch 60, Training Loss: 0.30671629309654236, Validation Loss: 0.29515764117240906
Epoch 61, Training Loss: 0.29515767097473145, Validation Loss: 0.28360995650291443
Epoch 62, Training Loss: 0.28360995650291443, Validation Loss: 0.2722669243812561
Epoch 63, Training Loss: 0.2722669243812561, Validation Loss: 0.2613039016723633
Epoch 64, Training Loss: 0.2613039016723633, Validation Loss: 0.2509562075138092
Epoch 65, Training Loss: 0.2509562075138092, Validation Loss: 0.2413681149482727
Epoch 66, Training Loss: 0.24136808514595032, Validation Loss: 0.23258602619171143
Epoch 67, Training Loss: 0.23258602619171143, Validation Loss: 0.22466720640659332
Epoch 68, Training Loss: 0.22466719150543213, Validation Loss: 0.21752116084098816
Epoch 69, Training Loss: 0.21752113103866577, Validation Loss: 0.2109796106815338
Epoch 70, Training Loss: 0.2109796106815338, Validation Loss: 0.20481210947036743
Epoch 71, Training Loss: 0.20481210947036743, Validation Loss: 0.19871914386749268
Epoch 72, Training Loss: 0.19871917366981506, Validation Loss: 0.19236333668231964
Epoch 73, Training Loss: 0.19236338138580322, Validation Loss: 0.1855926215648651
Epoch 74, Training Loss: 0.1855926215648651, Validation Loss: 0.17844516038894653
Epoch 75, Training Loss: 0.17844514548778534, Validation Loss: 0.17094829678535461
Epoch 76, Training Loss: 0.17094829678535461, Validation Loss: 0.1631302386522293
Epoch 77, Training Loss: 0.1631302386522293, Validation Loss: 0.15515708923339844
Epoch 78, Training Loss: 0.15515708923339844, Validation Loss: 0.1472099870443344
Epoch 79, Training Loss: 0.14720995724201202, Validation Loss: 0.13951750099658966
Epoch 80, Training Loss: 0.13951748609542847, Validation Loss: 0.13224166631698608
Epoch 81, Training Loss: 0.13224168121814728, Validation Loss: 0.12531022727489471
Epoch 82, Training Loss: 0.12531021237373352, Validation Loss: 0.11865998059511185
Epoch 83, Training Loss: 0.11865998059511185, Validation Loss: 0.1123829185962677
Epoch 84, Training Loss: 0.1123829260468483, Validation Loss: 0.10651537775993347
Epoch 85, Training Loss: 0.10651538521051407, Validation Loss: 0.10092336684465408
Epoch 86, Training Loss: 0.10092337429523468, Validation Loss: 0.09559875726699829
Epoch 87, Training Loss: 0.09559875726699829, Validation Loss: 0.09048157930374146
Epoch 88, Training Loss: 0.09048157930374146, Validation Loss: 0.08554628491401672
Epoch 89, Training Loss: 0.08554629236459732, Validation Loss: 0.08070683479309082
Epoch 90, Training Loss: 0.08070684969425201, Validation Loss: 0.07605835795402527
Epoch 91, Training Loss: 0.07605836540460587, Validation Loss: 0.07157479971647263
Epoch 92, Training Loss: 0.07157479971647263, Validation Loss: 0.06733404099941254
Epoch 93, Training Loss: 0.06733405590057373, Validation Loss: 0.06327120214700699
Epoch 94, Training Loss: 0.06327120214700699, Validation Loss: 0.05938416346907616
Epoch 95, Training Loss: 0.05938415601849556, Validation Loss: 0.055724505335092545
Epoch 96, Training Loss: 0.05572449788451195, Validation Loss: 0.052149828523397446
Epoch 97, Training Loss: 0.052149828523397446, Validation Loss: 0.04861418902873993
Epoch 98, Training Loss: 0.04861418157815933, Validation Loss: 0.04511241614818573
Epoch 99, Training Loss: 0.04511241614818573, Validation Loss: 0.041582025587558746
Epoch 100, Training Loss: 0.041582025587558746, Validation Loss: 0.038002997636795044
Epoch 101, Training Loss: 0.038002997636795044, Validation Loss: 0.03441804647445679
Epoch 102, Training Loss: 0.03441804647445679, Validation Loss: 0.030966462567448616
Epoch 103, Training Loss: 0.030966462567448616, Validation Loss: 0.027753647416830063
Epoch 104, Training Loss: 0.02775365300476551, Validation Loss: 0.024728182703256607
Epoch 105, Training Loss: 0.024728182703256607, Validation Loss: 0.02188933454453945
Epoch 106, Training Loss: 0.02188933454453945, Validation Loss: 0.01925407163798809
Epoch 107, Training Loss: 0.01925407163798809, Validation Loss: 0.016851473599672318
Epoch 108, Training Loss: 0.016851479187607765, Validation Loss: 0.014669911004602909
Epoch 109, Training Loss: 0.014669913798570633, Validation Loss: 0.012763628736138344
Epoch 110, Training Loss: 0.012763631530106068, Validation Loss: 0.01110937912017107
Epoch 111, Training Loss: 0.01110937912017107, Validation Loss: 0.009723483584821224
Epoch 112, Training Loss: 0.009723484516143799, Validation Loss: 0.008608493022620678
Epoch 113, Training Loss: 0.008608492091298103, Validation Loss: 0.007712268270552158
Epoch 114, Training Loss: 0.007712269201874733, Validation Loss: 0.006982374470680952
Epoch 115, Training Loss: 0.006982370279729366, Validation Loss: 0.006369708105921745
Epoch 116, Training Loss: 0.006369707174599171, Validation Loss: 0.0058212969452142715
Epoch 117, Training Loss: 0.005821296479552984, Validation Loss: 0.0053199660032987595
Epoch 118, Training Loss: 0.005319965071976185, Validation Loss: 0.004816967528313398
Epoch 119, Training Loss: 0.00481696892529726, Validation Loss: 0.0042989603243768215
Epoch 120, Training Loss: 0.004298957996070385, Validation Loss: 0.003769499249756336
Epoch 121, Training Loss: 0.0037694976199418306, Validation Loss: 0.0032412067521363497
Epoch 122, Training Loss: 0.0032412041909992695, Validation Loss: 0.0027248882688581944
Epoch 123, Training Loss: 0.0027248894330114126, Validation Loss: 0.0022601415403187275
Epoch 124, Training Loss: 0.002260141307488084, Validation Loss: 0.0018317510839551687
Epoch 125, Training Loss: 0.0018317491048946977, Validation Loss: 0.0014554326189681888
Epoch 126, Training Loss: 0.0014554309891536832, Validation Loss: 0.0011380608193576336
Epoch 127, Training Loss: 0.0011380597716197371, Validation Loss: 0.0008848299621604383
Epoch 128, Training Loss: 0.0008848299039527774, Validation Loss: 0.0006944715278223157
Epoch 129, Training Loss: 0.0006944711785763502, Validation Loss: 0.000555659644305706
Epoch 130, Training Loss: 0.0005556601099669933, Validation Loss: 0.0004589029704220593
Epoch 131, Training Loss: 0.00045890233013778925, Validation Loss: 0.00039405786083079875
Epoch 132, Training Loss: 0.0003940569586120546, Validation Loss: 0.0003512040129862726
Epoch 133, Training Loss: 0.00035120404209010303, Validation Loss: 0.00032194037339650095
Epoch 134, Training Loss: 0.0003219402569811791, Validation Loss: 0.00030004908330738544
Epoch 135, Training Loss: 0.00030004786094650626, Validation Loss: 0.00028094876324757934
Epoch 136, Training Loss: 0.00028094969457015395, Validation Loss: 0.00026162690483033657
Epoch 137, Training Loss: 0.0002616273704916239, Validation Loss: 0.00024089118232950568
Epoch 138, Training Loss: 0.00024089074577204883, Validation Loss: 0.00021880872373003513
Epoch 139, Training Loss: 0.00021880918939132243, Validation Loss: 0.00019635766511783004
Epoch 140, Training Loss: 0.00019635813077911735, Validation Loss: 0.00017495668726041913
Epoch 141, Training Loss: 0.0001749564689816907, Validation Loss: 0.0001561837998451665
Epoch 142, Training Loss: 0.00015618365432601422, Validation Loss: 0.00014138744154479355
Epoch 143, Training Loss: 0.00014138732512947172, Validation Loss: 0.00013136507186573
Epoch 144, Training Loss: 0.0001313648681389168, Validation Loss: 0.0001261941361008212
Epoch 145, Training Loss: 0.00012619428161997348, Validation Loss: 0.0001252285874215886
Epoch 146, Training Loss: 0.00012522886390797794, Validation Loss: 0.00012724798580165952
Epoch 147, Training Loss: 0.00012724789849016815, Validation Loss: 0.00013071266585029662
