Epoch 1, Training Loss: 0.5322709083557129, Validation Loss: 0.5294007062911987
Epoch 2, Training Loss: 0.5317679643630981, Validation Loss: 0.528386652469635
Epoch 3, Training Loss: 0.5268332958221436, Validation Loss: 0.527397096157074
Epoch 4, Training Loss: 0.5284466743469238, Validation Loss: 0.5264102816581726
Epoch 5, Training Loss: 0.5258473753929138, Validation Loss: 0.5254342555999756
Epoch 6, Training Loss: 0.5246705412864685, Validation Loss: 0.5244630575180054
Epoch 7, Training Loss: 0.5257744789123535, Validation Loss: 0.5234917402267456
Epoch 8, Training Loss: 0.5215829610824585, Validation Loss: 0.5225231051445007
Epoch 9, Training Loss: 0.5182642936706543, Validation Loss: 0.5215488076210022
Epoch 10, Training Loss: 0.5234522819519043, Validation Loss: 0.5205766558647156
Epoch 11, Training Loss: 0.518034815788269, Validation Loss: 0.5195934176445007
Epoch 12, Training Loss: 0.5183941721916199, Validation Loss: 0.5185913443565369
Epoch 13, Training Loss: 0.5177599191665649, Validation Loss: 0.5175864696502686
Epoch 14, Training Loss: 0.5148851871490479, Validation Loss: 0.5165674090385437
Epoch 15, Training Loss: 0.5159167647361755, Validation Loss: 0.5155678987503052
Epoch 16, Training Loss: 0.5147994756698608, Validation Loss: 0.5145537853240967
Epoch 17, Training Loss: 0.5132467746734619, Validation Loss: 0.513526439666748
Epoch 18, Training Loss: 0.5131193399429321, Validation Loss: 0.5124810934066772
Epoch 19, Training Loss: 0.5080373287200928, Validation Loss: 0.511420726776123
Epoch 20, Training Loss: 0.5081911683082581, Validation Loss: 0.5103424787521362
Epoch 21, Training Loss: 0.5068608522415161, Validation Loss: 0.5092476606369019
Epoch 22, Training Loss: 0.5076954364776611, Validation Loss: 0.5081435441970825
Epoch 23, Training Loss: 0.5062159299850464, Validation Loss: 0.5070391893386841
Epoch 24, Training Loss: 0.5028244256973267, Validation Loss: 0.5058989524841309
Epoch 25, Training Loss: 0.505007266998291, Validation Loss: 0.5047266483306885
Epoch 26, Training Loss: 0.5019215941429138, Validation Loss: 0.5035296678543091
Epoch 27, Training Loss: 0.5005624294281006, Validation Loss: 0.5022866725921631
Epoch 28, Training Loss: 0.5005726218223572, Validation Loss: 0.5009765625
Epoch 29, Training Loss: 0.49627217650413513, Validation Loss: 0.49963557720184326
Epoch 30, Training Loss: 0.4910818040370941, Validation Loss: 0.4982381761074066
Epoch 31, Training Loss: 0.49492502212524414, Validation Loss: 0.4967767596244812
Epoch 32, Training Loss: 0.48812565207481384, Validation Loss: 0.4952578544616699
Epoch 33, Training Loss: 0.4909784197807312, Validation Loss: 0.49367499351501465
Epoch 34, Training Loss: 0.4945753514766693, Validation Loss: 0.4920256733894348
Epoch 35, Training Loss: 0.48761793971061707, Validation Loss: 0.4902942180633545
